Trade_ID,Symbol,Interval,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,Stop_Loss,Take_Profit,Position_Size,Status,Profit_Loss,Profit_Loss_Pct,Risk_Reward,Highest_Price,Lowest_Price,Max_Profit,Max_Profit_Pct,Give_Back,Give_Back_Pct,Duration_Minutes,Logged_At
3,TAOUSDT,1m,SHORT,2025-10-15 23:30:13,429.32,2025-10-15 23:33:10,424.23,430.50,424.78,10.00,CLOSED_TP,0.12,1.19,3.87,429.32,424.23,0.12,1.19,0.00,0.00,2.96,2025-10-15 23:33:10
1,FFUSDT,1m,SHORT,2025-10-15 23:28:11,0.15,2025-10-15 23:34:10,0.15,0.15,0.15,10.00,CLOSED_TP,0.16,1.56,1.84,0.15,0.15,0.16,1.56,0.00,0.00,5.98,2025-10-15 23:34:10
4,BLESSUSDT,1m,SHORT,2025-10-15 23:33:11,0.12,2025-10-15 23:36:11,0.12,0.12,0.08,10.00,CLOSED_SL,-0.28,-2.80,24.11,0.12,0.11,0.16,1.62,0.44,4.42,3.00,2025-10-15 23:36:11
7,OMUSDT,1m,SHORT,2025-10-15 23:37:10,0.13,2025-10-15 23:40:11,0.13,0.13,0.13,10.00,CLOSED_TP,0.09,0.85,4.30,0.13,0.13,0.09,0.85,0.00,0.00,3.01,2025-10-15 23:40:11
9,OMUSDT,1m,SHORT,2025-10-15 23:41:10,0.13,2025-10-15 23:42:11,0.13,0.13,0.13,10.00,CLOSED_SL,-0.02,-0.22,4.06,0.13,0.13,0.00,0.00,0.02,0.22,1.01,2025-10-15 23:42:11
8,TAKEUSDT,1m,SHORT,2025-10-15 23:39:10,0.32,2025-10-15 23:43:10,0.32,0.32,0.32,10.00,CLOSED_SL,-0.05,-0.45,2.33,0.32,0.32,0.00,0.01,0.05,0.46,4.00,2025-10-15 23:43:10
5,BLESSUSDT,1m,SHORT,2025-10-15 23:36:11,0.12,2025-10-15 23:44:10,0.13,0.12,0.11,10.00,CLOSED_SL,-0.41,-4.09,12.20,0.13,0.12,0.20,1.97,0.61,6.07,7.99,2025-10-15 23:44:10
10,OMUSDT,1m,SHORT,2025-10-15 23:43:10,0.13,2025-10-15 23:46:10,0.13,0.13,0.13,10.00,CLOSED_TP,0.10,1.04,5.96,0.13,0.13,0.10,1.04,0.00,0.00,2.99,2025-10-15 23:46:10
12,TAKEUSDT,1m,SHORT,2025-10-15 23:44:11,0.32,2025-10-15 23:46:10,0.32,0.32,0.32,10.00,CLOSED_SL,-0.03,-0.33,1.74,0.32,0.32,0.00,0.00,0.03,0.33,1.99,2025-10-15 23:46:10
11,BLESSUSDT,1m,SHORT,2025-10-15 23:44:10,0.12,2025-10-15 23:47:11,0.13,0.12,0.11,10.00,CLOSED_SL,-0.23,-2.29,19.29,0.13,0.12,0.22,2.24,0.45,4.53,3.00,2025-10-15 23:47:11
6,PAXGUSDT,1m,SHORT,2025-10-15 23:36:11,4220.76,2025-10-15 23:49:11,4215.05,4223.45,4215.75,10.00,CLOSED_TP,0.01,0.14,1.86,4221.84,4215.05,0.01,0.14,0.00,0.00,12.99,2025-10-15 23:49:11
16,KGENUSDT,1m,SHORT,2025-10-15 23:50:11,0.22,2025-10-15 23:51:10,0.22,0.22,0.22,10.00,CLOSED_SL,-0.07,-0.67,1.50,0.22,0.22,0.00,0.00,0.07,0.67,0.99,2025-10-15 23:51:10
2,ETHUSDT,1m,SHORT,2025-10-15 23:29:10,3987.48,2025-10-15 23:53:10,4002.79,3994.54,3954.90,10.00,CLOSED_SL,-0.04,-0.38,4.61,4002.79,3972.84,0.04,0.37,0.08,0.75,23.99,2025-10-15 23:53:10
13,CYBERUSDT,1m,SHORT,2025-10-15 23:46:10,1.17,2025-10-15 23:53:10,1.18,1.18,1.17,10.00,CLOSED_SL,-0.03,-0.34,2.41,1.18,1.17,0.03,0.34,0.07,0.68,6.99,2025-10-15 23:53:10
15,TAKEUSDT,1m,SHORT,2025-10-15 23:48:10,0.32,2025-10-15 23:55:11,0.32,0.32,0.32,10.00,CLOSED_SL,-0.05,-0.54,2.22,0.32,0.32,0.03,0.30,0.08,0.84,7.00,2025-10-15 23:55:11
20,TAKEUSDT,1m,SHORT,2025-10-15 23:56:10,0.33,2025-10-15 23:57:11,0.33,0.33,0.32,10.00,CLOSED_SL,-0.03,-0.26,4.23,0.33,0.33,0.00,0.00,0.03,0.26,1.01,2025-10-15 23:57:11
18,KGENUSDT,1m,SHORT,2025-10-15 23:53:10,0.23,2025-10-15 23:57:11,0.22,0.23,0.22,10.00,CLOSED_TP,0.09,0.87,2.00,0.23,0.22,0.09,0.87,0.00,0.00,4.01,2025-10-15 23:57:11
22,BELUSDT,1m,SHORT,2025-10-15 23:59:11,0.34,2025-10-16 00:00:11,0.35,0.34,0.34,10.00,CLOSED_SL,-0.16,-1.58,3.19,0.35,0.34,0.00,0.00,0.16,1.58,1.00,2025-10-16 00:00:11
21,TAKEUSDT,1m,SHORT,2025-10-15 23:58:10,0.33,2025-10-16 00:02:20,0.33,0.33,0.32,10.00,CLOSED_SL,-0.02,-0.20,6.14,0.33,0.33,0.01,0.11,0.03,0.31,2.98,2025-10-16 00:02:20
23,BELUSDT,1m,SHORT,2025-10-16 00:00:11,0.35,2025-10-16 00:05:11,0.35,0.35,0.34,10.00,CLOSED_SL,-0.06,-0.64,6.11,0.35,0.34,0.07,0.72,0.14,1.36,3.81,2025-10-16 00:05:11
